symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IBM,2018-04-04 00:00:00+00:00,154.12,154.47,147.45,147.89,4805261,115.5809657334,115.843445217,110.5788567181,110.908830926,5026303,0.0,1.0
IBM,2018-04-05 00:00:00+00:00,154.03,154.92,153.34,154.44,3185388,115.5134710091,116.1809188387,114.9960114557,115.8209469755,3331915,0.0,1.0
IBM,2018-04-06 00:00:00+00:00,150.57,153.95,149.54,153.46,3672919,112.9186738287,115.4534756985,112.1462342056,115.0860044215,3841873,0.0,1.0
IBM,2018-04-09 00:00:00+00:00,152.69,154.66,151.74,151.8,4413178,114.5085495577,115.9859340795,113.7961052452,113.8411017281,4616184,0.0,1.0
IBM,2018-04-10 00:00:00+00:00,155.39,156.6,154.75,155.03,3955952,116.533391288,117.4408203598,116.0534288038,116.2634123907,4137925,0.0,1.0
IBM,2018-04-11 00:00:00+00:00,155.36,155.78,153.88,154.37,3306539,116.5108930466,116.8258684269,115.4009798018,115.7684510788,3458639,0.0,1.0
IBM,2018-04-12 00:00:00+00:00,158.07,158.98,156.67,156.75,5639444,118.5432341908,119.225680848,117.4933162565,117.553311567,5898858,0.0,1.0
IBM,2018-04-13 00:00:00+00:00,156.71,159.22,155.91,158.67,4057058,117.5233139118,119.4056667796,116.9233608065,118.9931990197,4243682,0.0,1.0
IBM,2018-04-16 00:00:00+00:00,157.89,159.14,157.67,157.99,4186755,118.4082447421,119.3456714691,118.2432576381,118.4832388802,4379345,0.0,1.0
IBM,2018-04-17 00:00:00+00:00,160.91,162.0,158.51,158.82,10207534,120.6730677145,121.4905038205,118.8732083987,119.105690227,10677080,0.0,1.0
IBM,2018-04-18 00:00:00+00:00,148.79,152.63,148.26,152.14,20381695,111.5837781694,114.4635530748,111.1863092372,114.0960817978,21319252,0.0,1.0
IBM,2018-04-19 00:00:00+00:00,147.7,149.21,146.62,149.19,8086056,110.7663420635,111.8987535497,109.9564053713,111.8837547221,8458014,0.0,1.0
IBM,2018-04-20 00:00:00+00:00,144.9,147.97,144.51,147.9,8265643,108.666506195,110.9688262365,108.3740290562,110.9163303398,8645862,0.0,1.0
IBM,2018-04-23 00:00:00+00:00,145.86,145.96,144.33,145.03,5315625,109.3864499213,109.4614440595,108.2390396075,108.7639985746,5560143,0.0,1.0
IBM,2018-04-24 00:00:00+00:00,145.56,147.3,144.53,146.51,4916476,109.1614675068,110.4663655108,108.3890278838,109.8739118194,5142633,0.0,1.0
IBM,2018-04-25 00:00:00+00:00,145.94,146.4,144.11,145.79,7324654,109.4464452319,109.7914182674,108.0740525035,109.3339540246,7661588,0.0,1.0
IBM,2018-04-26 00:00:00+00:00,146.72,147.36,146.2,146.6,4265812,110.0313995095,110.5113619937,109.6414299911,109.9414065437,4462039,0.0,1.0
IBM,2018-04-27 00:00:00+00:00,146.48,147.25,145.66,146.84,3205482,109.8514135779,110.4288684418,109.236461645,110.1213924753,3352934,0.0,1.0
IBM,2018-04-30 00:00:00+00:00,144.96,147.38,144.96,146.86,4415533,108.7115026779,110.5263608214,108.7115026779,110.1363913029,4618647,0.0,1.0
IBM,2018-05-01 00:00:00+00:00,145.0,145.02,143.47,144.65,4433393,108.7415003331,108.7564991608,107.5940900193,108.4790208496,4637329,0.0,1.0
IBM,2018-05-02 00:00:00+00:00,142.45,144.82,142.07,144.46,5194917,106.82914981,108.6065108845,106.544172085,108.3365319871,5433883,0.0,1.0
IBM,2018-05-03 00:00:00+00:00,141.99,142.23,139.9,142.13,5018592,106.4841767745,106.6641627061,104.9167992869,106.5891685679,5249447,0.0,1.0
IBM,2018-05-04 00:00:00+00:00,143.91,144.35,140.28,141.1,4402170,107.9240642272,108.2540384351,105.201777012,105.8167289449,4604669,0.0,1.0
IBM,2018-05-07 00:00:00+00:00,143.22,144.32,142.64,144.0,3657009,107.4066046739,108.2315401936,106.9716386725,107.9915589515,3825231,0.0,1.0
IBM,2018-05-08 00:00:00+00:00,143.0,143.51,142.06,143.0,5369119,107.2416175699,107.6240876745,106.5366726712,107.2416175699,5616098,0.0,1.0
IBM,2018-05-09 00:00:00+00:00,142.61,143.02,141.28,141.9,4195953,108.1265484002,108.4374093836,107.1181456979,107.5882281607,4388966,1.57,1.0
IBM,2018-05-10 00:00:00+00:00,144.24,144.33,143.01,143.15,3726608,109.3624103587,109.4306481355,108.4298274084,108.5359750613,3898031,0.0,1.0
IBM,2018-05-11 00:00:00+00:00,144.14,144.85,143.58,144.11,3073167,109.2865906066,109.8249108462,108.8619999951,109.263844681,3214532,0.0,1.0
IBM,2018-05-14 00:00:00+00:00,144.3,145.12,144.14,144.47,3216062,109.4079022099,110.0296241767,109.2865906066,109.5367957884,3364000,0.0,1.0
IBM,2018-05-15 00:00:00+00:00,143.74,143.99,142.92,143.5,4089397,108.9833115984,109.1728609785,108.3615896316,108.8013441935,4277509,0.0,1.0
IBM,2018-05-16 00:00:00+00:00,144.63,145.03,143.27,143.7,3168659,109.6581073917,109.9613863999,108.6269587638,108.9529836976,3314417,0.0,1.0
IBM,2018-05-17 00:00:00+00:00,144.5,145.19,143.77,144.5,3147659,109.559541714,110.0826980031,109.006057524,109.559541714,3292451,0.0,1.0
IBM,2018-05-18 00:00:00+00:00,144.08,144.94,143.99,144.47,2682243,109.2410987554,109.893148623,109.1728609785,109.5367957884,2805626,0.0,1.0
IBM,2018-05-21 00:00:00+00:00,145.49,146.04,144.68,144.95,2894698,110.3101572593,110.7271658956,109.6960172677,109.9007305982,3027854,0.0,1.0
IBM,2018-05-22 00:00:00+00:00,145.09,146.2,145.0,145.52,2284020,110.0068782511,110.8484774989,109.9386404742,110.3329031849,2389084,0.0,1.0
IBM,2018-05-23 00:00:00+00:00,144.67,144.7,143.48,144.35,3459747,109.6884352925,109.7111812181,108.7861802431,109.4458120859,3618895,0.0,1.0
IBM,2018-05-24 00:00:00+00:00,144.07,144.48,142.95,144.39,3398701,109.2335167802,109.5443777636,108.3843355572,109.4761399867,3555041,0.0,1.0
IBM,2018-05-25 00:00:00+00:00,143.64,144.57,143.46,143.9,4914294,108.9074918463,109.6126155404,108.7710162927,109.1046232017,5140351,0.0,1.0
IBM,2018-05-29 00:00:00+00:00,141.22,142.89,140.21,142.53,4537638,107.0726538467,108.338843706,106.306874351,108.0658925986,4746369,0.0,1.0
IBM,2018-05-30 00:00:00+00:00,142.62,143.1,141.82,141.9,5118530,108.1341303754,108.4980651853,107.527572359,107.5882281607,5353982,0.0,1.0
IBM,2018-05-31 00:00:00+00:00,141.31,142.81,141.05,142.81,6830256,107.1408916236,108.2781879043,106.9437602682,108.2781879043,7144447,0.0,1.0
IBM,2018-06-01 00:00:00+00:00,141.95,142.84,141.62,142.43,3857530,107.6261380367,108.3009338299,107.3759328549,107.9900728465,4034976,0.0,1.0
IBM,2018-06-04 00:00:00+00:00,143.04,143.17,142.18,142.3,3035257,108.452573334,108.5511390117,107.8005234664,107.8915071689,3174878,0.0,1.0
IBM,2018-06-05 00:00:00+00:00,143.7,144.08,143.04,143.05,2836017,108.9529836976,109.2410987554,108.452573334,108.4601553092,2966473,0.0,1.0
IBM,2018-06-06 00:00:00+00:00,144.71,144.72,143.54,144.34,3220139,109.7187631933,109.7263451685,108.8316720943,109.4382301107,3368265,0.0,1.0
IBM,2018-06-07 00:00:00+00:00,145.36,146.7,144.93,145.0,4316484,110.2115915816,111.2275762591,109.8855666478,109.9386404742,4515042,0.0,1.0
IBM,2018-06-08 00:00:00+00:00,146.14,146.43,144.37,145.0,5210468,110.8029856476,111.0228629286,109.4609760363,109.9386404742,5450149,0.0,1.0
IBM,2018-06-11 00:00:00+00:00,146.58,147.41,146.14,146.62,3259986,111.1365925567,111.7658964987,110.8029856476,111.1669204575,3409945,0.0,1.0
IBM,2018-06-12 00:00:00+00:00,146.87,147.52,146.62,147.1,2640515,111.3564698376,111.8492982259,111.1669204575,111.5308552673,2761978,0.0,1.0
IBM,2018-06-13 00:00:00+00:00,146.35,147.47,146.2,146.79,2968180,110.9622071269,111.8113883499,110.8484774989,111.295814036,3104716,0.0,1.0
IBM,2018-06-14 00:00:00+00:00,145.2,146.98,145.09,146.65,3326343,110.0902799783,111.4398715649,110.0068782511,111.1896663831,3479354,0.0,1.0
IBM,2018-06-15 00:00:00+00:00,145.39,145.47,143.7,144.9,9116048,110.2343375072,110.2949933089,108.9529836976,109.8628207222,9535386,0.0,1.0
IBM,2018-06-18 00:00:00+00:00,144.48,144.52,143.14,144.18,4286406,109.5443777636,109.5747056644,108.5283930861,109.3169185074,4483580,0.0,1.0
IBM,2018-06-19 00:00:00+00:00,143.9,144.22,142.95,143.12,3487015,109.1046232017,109.3472464082,108.3843355572,108.5132291357,3647417,0.0,1.0
IBM,2018-06-20 00:00:00+00:00,142.63,144.52,142.41,144.22,3329917,108.1417123506,109.5747056644,107.9749088961,109.3472464082,3483093,0.0,1.0
